Country,Year,book,cinema,concert,museum,theater
Japan,2008,22.666666666666668,33.916666666666664,29.5,61.166666666666664,61.916666666666664
Japan,2009,20.5,36.0,32.0,55.166666666666664,68.91666666666667
Japan,2010,30.166666666666668,38.5,34.0,49.666666666666664,70.75
Japan,2011,31.666666666666668,40.666666666666664,37.666666666666664,49.25,67.83333333333333
Japan,2012,27.083333333333332,46.333333333333336,40.5,48.0,60.5
Japan,2013,22.916666666666668,45.0,40.25,44.833333333333336,55.333333333333336
Japan,2014,19.833333333333332,42.5,41.25,45.5,51.5
Japan,2015,18.0,42.166666666666664,42.166666666666664,47.5,51.0
Japan,2016,17.75,40.0,39.5,41.0,44.833333333333336
Japan,2017,16.75,39.0,38.166666666666664,44.166666666666664,45.583333333333336
Japan,2018,16.166666666666668,36.25,38.25,44.166666666666664,43.166666666666664
Japan,2019,15.666666666666666,44.333333333333336,40.833333333333336,47.666666666666664,44.5
Japan,2020,17.583333333333332,30.333333333333332,22.25,33.5,36.083333333333336
Japan,2021,17.166666666666668,31.083333333333332,23.5,34.666666666666664,35.916666666666664
Japan,2022,17.416666666666668,39.25,35.333333333333336,47.666666666666664,38.75
Japan,2023,17.75,43.0,36.416666666666664,49.0,38.833333333333336
Japan,2024,18.166666666666668,35.583333333333336,33.916666666666664,47.166666666666664,37.916666666666664
Japan,2025,18.2,39.4,35.8,46.6,37.4
Jordan,2004,32.833333333333336,0.0,0.0,0.0,0.0
Jordan,2005,34.083333333333336,2.25,0.0,0.0,0.0
Jordan,2006,32.166666666666664,2.0833333333333335,0.0,0.4166666666666667,0.0
Jordan,2007,36.416666666666664,5.416666666666667,0.0,1.0833333333333333,0.16666666666666666
Jordan,2008,40.416666666666664,4.833333333333333,0.0,1.3333333333333333,0.0
Jordan,2009,40.416666666666664,4.833333333333333,0.0,1.5,0.0
Jordan,2010,36.916666666666664,5.166666666666667,0.0,1.5,0.16666666666666666
Jordan,2011,30.0,5.083333333333333,0.0,1.0833333333333333,0.75
Jordan,2012,27.083333333333332,4.166666666666667,0.0,1.25,1.0
Jordan,2013,27.333333333333332,4.5,0.0,1.25,0.8333333333333334
Jordan,2014,28.916666666666668,5.166666666666667,0.0,1.25,0.8333333333333334
Jordan,2015,31.083333333333332,6.5,0.0,1.5,1.25
Jordan,2016,37.166666666666664,7.833333333333333,0.0,2.0833333333333335,2.6666666666666665
Jordan,2017,35.833333333333336,9.25,0.0,2.25,2.4166666666666665
Jordan,2018,34.916666666666664,10.166666666666666,0.0,2.4166666666666665,2.9166666666666665
Jordan,2019,35.0,11.666666666666666,0.0,2.25,2.6666666666666665
Jordan,2020,41.833333333333336,5.166666666666667,0.0,1.75,2.3333333333333335
Jordan,2021,46.75,6.5,0.0,2.1666666666666665,1.75
Jordan,2022,62.666666666666664,7.333333333333333,0.0,2.4166666666666665,1.3333333333333333
Jordan,2023,70.91666666666667,7.583333333333333,0.0,2.1666666666666665,1.0
Jordan,2024,74.58333333333333,7.25,0.0,2.6666666666666665,1.0
Jordan,2025,74.6,6.2,0.0,2.0,1.0
Malaysia,2004,14.5,0.0,2.0,4.083333333333333,0.9166666666666666
Malaysia,2005,15.333333333333334,0.0,3.1666666666666665,5.0,0.25
Malaysia,2006,13.75,0.0,2.3333333333333335,4.583333333333333,0.8333333333333334
Malaysia,2007,13.166666666666666,0.0,2.6666666666666665,3.8333333333333335,0.9166666666666666
Malaysia,2008,13.833333333333334,0.0,2.9166666666666665,3.4166666666666665,0.9166666666666666
Malaysia,2009,16.916666666666668,0.16666666666666666,4.833333333333333,5.916666666666667,1.5833333333333333
Malaysia,2010,19.5,0.16666666666666666,5.083333333333333,3.3333333333333335,1.5833333333333333
Malaysia,2011,31.583333333333332,0.6666666666666666,4.583333333333333,2.9166666666666665,1.3333333333333333
Malaysia,2012,25.916666666666668,0.4166666666666667,3.3333333333333335,2.8333333333333335,1.0833333333333333
Malaysia,2013,24.166666666666668,0.9166666666666666,2.9166666666666665,2.8333333333333335,1.0
