Date,concert,cinema,museum,book,theater,Country
2020-01-01,37,39,43,17,45,Japan
2020-02-01,46,39,40,16,47,Japan
2020-03-01,30,26,30,17,40,Japan
2020-04-01,18,8,21,20,29,Japan
2020-05-01,17,11,27,21,37,Japan
2020-06-01,14,21,31,18,25,Japan
2020-07-01,14,26,37,17,37,Japan
2020-08-01,15,32,39,17,34,Japan
2020-09-01,16,35,37,17,31,Japan
2020-10-01,21,51,38,17,38,Japan
2020-11-01,19,39,36,17,36,Japan
2020-12-01,20,37,23,17,34,Japan
2021-01-01,18,27,24,19,37,Japan
2021-02-01,17,25,29,18,32,Japan
2021-03-01,19,33,32,17,41,Japan
2021-04-01,24,34,33,20,37,Japan
2021-05-01,24,28,31,18,32,Japan
2021-06-01,22,34,33,17,36,Japan
2021-07-01,21,38,45,16,36,Japan
2021-08-01,20,37,42,16,34,Japan
2021-09-01,22,28,34,17,34,Japan
2021-10-01,30,28,39,16,38,Japan
2021-11-01,33,29,42,17,36,Japan
2021-12-01,32,32,32,15,38,Japan
2022-01-01,27,34,35,18,38,Japan
2022-02-01,25,29,37,18,34,Japan
2022-03-01,28,37,45,17,37,Japan
2022-04-01,33,38,51,19,41,Japan
2022-05-01,34,45,52,17,40,Japan
2022-06-01,41,45,48,17,47,Japan
2022-07-01,36,45,50,16,38,Japan
2022-08-01,38,53,63,17,37,Japan
2022-09-01,45,37,49,18,39,Japan
2022-10-01,44,31,54,18,38,Japan
2022-11-01,37,35,52,17,39,Japan
2022-12-01,36,42,36,17,37,Japan
2023-01-01,33,40,39,19,38,Japan
2023-02-01,33,47,43,19,38,Japan
2023-03-01,32,43,46,17,36,Japan
2023-04-01,34,58,50,18,40,Japan
2023-05-01,38,52,50,16,41,Japan
2023-06-01,40,45,47,17,38,Japan
2023-07-01,38,46,60,18,45,Japan
2023-08-01,36,44,74,17,40,Japan
2023-09-01,38,37,51,18,43,Japan
2023-10-01,37,32,46,18,35,Japan
2023-11-01,39,32,45,19,34,Japan
2023-12-01,39,40,37,17,38,Japan
2024-01-01,35,37,42,19,41,Japan
2024-02-01,35,40,48,20,41,Japan
2024-03-01,34,39,44,18,37,Japan
2024-04-01,30,39,48,19,40,Japan
2024-05-01,34,33,51,18,39,Japan
2024-06-01,33,30,44,18,37,Japan
2024-07-01,30,35,53,17,35,Japan
2024-08-01,31,43,63,16,35,Japan
2024-09-01,37,35,49,18,40,Japan
2024-10-01,33,27,43,19,36,Japan
